year,round,pick,player,position,school
2008,1,18,"McGee, Javale",,
2008,1,19,"Hickson, J. J.",,
2008,1,20,"Ajinca, Alexis",,
2008,1,21,"Anderson, Ryan",,
2008,1,22,"Lee, Courtney",,
2008,1,23,"Koufos, Kosta",,
2008,1,24,"Ibaka, Serge",,
2008,1,25,"Batum, Nicolas",,
2008,1,26,"Hill, George",,
2008,1,27,"Arthur, Darrell",,
2008,1,28,"Greene, Donte",,
2008,1,29,"White, D. J.",,
2008,1,30,"Giddens, J. R.",,
2008,2,31,"Pekovic, Nikola",,
2008,2,32,"Sharpe, Walter",,
2008,2,33,"Dorsey, Joey",,
2008,2,34,"Chalmers, Mario",,
2008,2,35,"Jordan, DeAndre",,
2008,2,36,"Asik, Omer",,
2008,2,37,"Mbah a Moute, Luc",,
2008,2,38,"Weaver, Kyle",,
2008,2,39,"Weems, Sonny",,
2008,2,40,"Douglas-Roberts, Chris",,
2008,2,41,"Jawai, Nathan",,
2008,2,42,"Singletary, Sean",,
2008,2,43,"Ewing, Jr., Patrick",,
2008,2,44,"Tomic, Ante",,
2008,2,45,"Dragic, Goran",,
2008,2,46,"Plaisted, Trent",,
2008,2,47,"Walker, Bill",,
2008,2,48,"Hairston, Malik",,
2008,2,49,"Hendrix, Richard",,
2008,2,50,"Hardin, DeVon",,
2008,2,51,"Foster, Shan",,
2008,2,52,"Jackson, Darnell",,
2008,2,53,"Dragicevic, Tadija",,
2008,2,54,"Leunen, Maarty",,
2008,2,55,"Taylor, Mike",,
2008,2,56,"Kaun, Sasha",,
2008,2,57,"Gist, James",,
2008,2,58,"Crawford, Joe",,
2008,2,59,"Washington, Deron",,
2008,2,60,"Erden, Semih",,
2009,1,1,"Griffin, Blake",,
2009,1,2,"Thabeet, Hasheem",,
2009,1,3,"Harden, James",,
2009,1,4,"Evans, Tyreke",,
2009,1,5,"Rubio, Ricky",,
2009,1,6,"Flynn, Jonny",,
2009,1,7,"Curry, Stephen",,
2009,1,8,"Hill, Jordan",,
2009,1,9,"DeRozan, DeMar",,
2009,1,10,"Jennings, Brandon",,
2009,1,11,"Williams, Terrence",,
2009,1,12,"Henderson, Gerald",,
