field1,Game_id,Person_id,Team_id,First_Name,Last_Name,minutes,Field_Goals,Field_Goals_Attempted,Field_Goal_Percentage,Three_Pointers,Three_Pointers_Attempted,Three_Point_Percentage,Free_Throws,Free_Throws_Attempted,Free_Throw_Percentage,Offensive_Rebounds,Defensive_Rebounds,Assists,Personal_Fouls,Steals,Turnovers,Blocked_Shots,Points,location,outcome,season_id,vs_team_id,league_id,Technical_Fouls,Flagrant_Fouls,Ejections,Points_In_Paint,Fast_Break_Points,Triple_Doubles,Double_Doubles,actual_minutes,actual_seconds,Plus_Minus,Blocks_Against,PTS_OFF_TO,Second_Chance_PTS,Total_Rebounds,points_per_36,rebounds_per_36,assists_per_36,steals_per_36,blocks_per_36
1146,20300056,2246,1610612765,Mehmet,Okur,22,3,8,0.375,0,1,0,4,5,0.8,4,5,2,1,0,0,0,10,H,W,2003,1610612738,0,0,0,0,2,0,0,0,22,6,11,0,6,4,9,16.36363636,14.72727273,3.272727273,0,0
1147,20300056,2412,1610612738,Jiri,Welsch,15,2,5,0.4,1,2,0.5,0,0,0,2,1,1,2,0,2,0,5,A,L,2003,1610612765,0,0,0,0,0,0,0,0,14,51,-5,0,3,2,3,12,7.2,2.4,0,0
1148,20300056,2419,1610612765,Tayshaun,Prince,34,5,7,0.714,4,4,1,0,0,0,1,4,1,1,0,3,0,14,H,W,2003,1610612738,0,0,0,0,0,3,0,0,33,52,1,0,0,0,5,14.82352941,5.294117647,1.058823529,0,0
1164,20300057,2401,1610612743,Nikoloz,Tskitishvili,7,0,1,0,0,0,0,2,2,1,0,1,0,2,0,0,0,2,A,W,2003,1610612739,0,0,0,0,0,0,0,0,7,0,12,0,0,2,1,10.28571429,5.142857143,0,0,0
1166,20300057,2430,1610612739,Carlos,Boozer,28,4,9,0.444,0,0,0,2,2,1,5,4,0,1,0,1,0,10,H,L,2003,1610612743,0,0,0,0,6,0,0,0,28,0,-24,1,0,6,9,12.85714286,11.57142857,0,0,1.285714286
1204,20300059,2418,1610612756,Casey,Jacobsen,19,1,4,0.25,0,2,0,1,2,0.5,1,3,1,0,0,2,1,3,A,L,2003,1610612762,0,0,0,0,0,0,0,0,19,0,3,0,1,0,4,5.684210526,7.578947368,1.894736842,0,0
1246,20300061,2417,1610612757,Qyntel,Woods,18,3,7,0.429,0,0,0,3,3,1,2,2,2,4,1,1,1,9,H,W,2003,1610612763,0,0,0,0,4,0,0,0,18,0,9,0,2,2,4,18,8,4,2,0
1265,20300062,2410,1610612754,Fred,Jones,11,2,3,0.667,0,0,0,0,0,0,0,0,1,1,1,2,0,4,A,W,2003,1610612751,0,0,0,0,2,2,0,0,10,53,5,1,2,0,0,13.09090909,0,3.272727273,3.272727273,3.272727273
1305,20300064,2416,1610612747,Kareem,Rush,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,A,W,2003,1610612759,0,0,0,0,0,0,0,0,5,0,-7,0,0,0,0,0,0,0,0,0
1306,20300064,2457,1610612747,Jannero,Pargo,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,A,W,2003,1610612759,0,0,0,0,0,0,0,0,3,0,-6,0,0,0,0,0,0,0,0,0
