year,round,pick,player,position,school
2003,1,28,"Barbosa, Leandro",SG,Bauru Tilibra
2003,1,29,"Howard, Josh",F/G,Wake Forest
2003,2,30,"Lampe, Maciej",PF,Complutense University of Madrid
2003,2,31,"Kapono, Jason",F/G,UCLA
2003,2,32,"Walton, Luke",SF,Arizona
2003,2,33,"Beasley, Jerome",PF,North Dakota
2003,2,34,"Schortsanitis, Sofoklis",C,Iraklis BC
2003,2,35,"Szewczyk, Szymon",PF,Braunschweig
2003,2,36,"Austin, Mario",PF,Mississippi State
2003,2,37,"Hansen, Travis",SG,BYU
2003,2,38,"Blake, Steve",PG,Maryland
2003,2,39,"Vrane?, Slavko",C,Budu?nost Podgorica
2003,2,40,"Zimmerman, Derrick",PG,Mississippi State
2003,2,41,"Green, Willie",SG,Detroit
2003,2,42,"Pachulia, Zaza",PF,?lkerspor
2003,2,43,"Bogans, Keith",SG,Kentucky
2003,2,44,"Badiane, Malick",PF,Langen
2003,2,45,"Bonner, Matt",F,Florida
2003,2,46,"Be?irovi?, Sani",SG,Virtus Bologna
2003,2,47,"Williams, Mo",PG,Alabama
2003,2,48,"Lang, James",C,Central Park Christian HS 
2003,2,49,"Jones, James",SF,Miami (Florida)
2003,2,50,"Morlende, Paccelis",PG,Dijon
2003,2,51,"Korver, Kyle",SG,Creighton
2003,2,52,"van de Hare, Remon",C,FC Barcelona
2003,2,53,"Smith, Tommy",PF,Arizona State
2003,2,54,"Sinanovi?, Ned?ad",C,Brotnjo
2003,2,55,"Rickert, Rick",PF,Minnesota
2003,2,56,"Hunter, Brandon",PF,Ohio
2003,2,57,"Yuyang, Xue",C,Hong Kong Flying Dragons
2003,2,58,"Glyniadakis, Andreas",C,AEK
2004,1,1,"Howard, Dwight",C,Southwest Atlanta Christian Academy
2004,1,2,"Okafor, Emeka",PF/C,Connecticut
2004,1,3,"Gordon, Ben",SG,Connecticut
2004,1,4,"Livingston, Shaun",PG,Peoria HS
2004,1,5,"Harris, Devin",PG,Wisconsin
2004,1,6,"Childress, Josh",G/F,Stanford
2004,1,7,"Deng, Luol",SF,Duke
2004,1,8,"Ara¨²jo, Rafael",C,BYU
2004,1,9,"Iguodala, Andre",SF,Arizona
2004,1,10,"Jackson, Luke",SF,Oregon
2004,1,11,"Biedri??, Andris",F/C,Skonto
2004,1,12,"Swift, Robert",C,Bakersfield HS
2004,1,13,"Telfair, Sebastian",PG,Lincoln HS
2004,1,14,"Humphries, Kris",PF,Minnesota
2004,1,15,"Jefferson, Al",PF/C,Prentiss HS 
2004,1,16,"Snyder, Kirk",SG,Nevada
2004,1,17,"Smith, Josh",SF,Oak Hill Academy
2004,1,18,"Smith, J. R.",SG,St. Benedict's Prep
2004,1,19,"Wright, Dorell",SF,South Kent School
2004,1,20,"Nelson, Jameer",PG,Saint Joseph's
2004,1,21,"Podkolzin, Pavel",C,Metis Varese
2004,1,22,"Khryapa, Viktor",SF,CSKA Moscow
2004,1,23,"Monia, Sergei",SG,CSKA Moscow
2004,1,24,"West, Delonte",PG,Saint Joseph's
2004,1,25,"Allen, Tony",SG,Oklahoma State
2004,1,26,"Martin, Kevin",SG,Western Carolina
2004,1,27,"Vuja?i?, Sa?a",SG,Snaidero Udine
2004,1,28,"Udrih, Beno",PG,Breil Milano
2004,1,29,"Harrison, David",C,Colorado
2004,1,,Forfeited Pick,None,None
2004,2,30,"Varej?o, Anderson",C,FC Barcelona
2004,2,31,"Vroman, Jackson",C,Iowa State
2004,2,32,"Ramos, Peter John",C,Caguas
2004,2,33,"Chalmers, Lionel",PG,Xavier
2004,2,34,"Smith, Donta",SF,Southeastern Illinois
2004,2,35,"Emmett, Andre",F/G,Texas Tech
2004,2,36,"Burks, Antonio",PG,Memphis
2004,2,37,"Ivey, Royal",PG,Texas
2004,2,38,"Duhon, Chris",PG,Duke
2004,2,39,"Miralles, Albert",PF,Roseto Basket
2004,2,40,"Reed, Justin",SF,Mississippi
2004,2,41,"Young, David",G,North Carolina Central
2004,2,42,"Sanikidze, Viktor",SF,Dijon
2004,2,43,"Ariza, Trevor",SF,UCLA
2004,2,44,"Pickett, Tim",SG,Florida State
2004,2,45,"Robinson, Bernard",SF,Michigan
2004,2,46,"Seung-Jin, Ha",C,Yonsei University
2004,2,47,"Sow, Pape",PF,Cal State Fullerton
2004,2,48,"Minard, Ricky",SG,Morehead State
2004,2,49,"Lishouk, Sergei",PF,Khimik Yuzhny
2004,2,50,"Spanoulis, Vassilis",PG,Maroussi
2004,2,51,"Drejer, Christian",SF,FC Barcelona
2004,2,52,"Sato, Romain",SG,Xavier
2004,2,53,"Freije, Matt",SF,Vanderbilt
2004,2,54,"Paulding, Rickey",SG,Missouri
2004,2,55,"Flores, Luis",PG,Manhattan
2004,2,56,"Douthit, Marcus",PF,Providence
2004,2,57,"Karaulov, Sergei",G,Skha Jakutia Yakutsk 
2004,2,58,"Stepp, Blake",PG,Gonzaga
2004,2,59,"Wright, Rashad",G,Georgia
2005,1,1,"Bogut, Andrew",C,Utah
2005,1,2,"Williams, Marvin",F,North Carolina
2005,1,3,"Williams, Deron",PG,Illinois
2005,1,4,"Paul, Chris",PG,Wake Forest
2005,1,5,"Felton, Raymond",G,North Carolina
2005,1,6,"Webster, Martell",G/F,Seattle Prep. School
2005,1,7,"Villanueva, Charlie",F,Connecticut
2005,1,8,"Frye, Channing",C,Arizona
2005,1,9,"Diogu, Ike",F,Arizona State
2005,1,10,"Bynum, Andrew",C,St. Joseph HS
2005,1,11,"V¨¢zquez, Fran",F/C,Unicaja M¨¢laga
2005,1,12,"Korolev, Yaroslav",F,CSKA Moscow
2005,1,13,"May, Sean",F,North Carolina
2005,1,14,"McCants, Rashad",G,North Carolina
2005,1,15,"Wright, Antoine",G/F,Texas A&M
2005,1,16,"Graham, Joey",F,Oklahoma State
2005,1,17,"Granger, Danny",SF,New Mexico
2005,1,18,"Green, Gerald",G/F,Gulf Shores Academy
2005,1,19,"Warrick, Hakim",F,Syracuse
2005,1,20,"Hodge, Julius",G,NC State
2005,1,21,"Robinson, Nate",G,Washington
2005,1,22,"Jack, Jarrett",G,Georgia Tech
2005,1,23,"Garc¨ªa, Francisco",G/F,Louisville
2005,1,24,"Head, Luther",G,Illinois
2005,1,25,"Petro, Johan",C,Pau-Orthez
2005,1,26,"Maxiell, Jason",F,Cincinnati
2005,1,27,"Kleiza, Linas",F,Missouri
2005,1,28,"Mahinmi, Ian",F/C,Le Havre
2005,1,29,"Simien, Wayne",F,Kansas
2005,1,30,"Lee, David",PF,Florida
2005,2,31,"Stoudamire, Salim",G,Arizona
2005,2,32,"Ewing, Daniel",G,Duke
2005,2,33,"Bass, Brandon",F,LSU
2005,2,34,"Miles, C. J.",G,Skyline HS
2005,2,35,"S¨¢nchez, Ricky",F,IMG Academy
2005,2,36,"?lyasova, Ersan",F,?lkerspor
2005,2,37,"Turiaf, Ronny",F,Gonzaga
2005,2,38,"Diener, Travis",G,Marquette
2005,2,39,"Wafer, Von",G,Florida State
2005,2,40,"Ellis, Monta",SG,Lanier HS
2005,2,41,"Uki?, Roko",G,KK Split
2005,2,42,"Taft, Chris",F,Pittsburgh
2005,2,43,"Ili?, Mile",C,KK Reflex
2005,2,44,"Andriu?kevi?ius, Martynas",C,?algiris Kaunas
2005,2,45,"Williams, Louis",SG,South Gwinnett HS
2005,2,46,"Lorbek, Erazem",F,Climamio Bologna
2005,2,47,"Wright, Bracey",G,Indiana
2005,2,48,"Gelabale, Micka?l",F,Real Madrid
2005,2,49,"Blatche, Andray",F,South Kent School
