year	round	pick	player	position	school
1987	1	12	"Bogues, Muggsy"	PG	Wake Forest
1987	1	13	"Wolf, Joe"	C	North Carolina
1987	1	14	"Frank, Tellis"	PF	WKU
1987	1	15	"Ortiz, Jos¨¦"	PF	Oregon State
1987	1	16	"Welp, Christian"	C	Washington
1987	1	17	"Murphy, Ronnie"	SG	Jacksonville
1987	1	18	"Jackson, Mark"	PG	St. John's
1987	1	19	"Norman, Ken"	SF	Illinois
1987	1	20	"Farmer, Jim"	SG	Alabama
1987	1	21	"Comegys, Dallas"	C	DePaul
1987	1	22	"Lewis, Reggie"	SG	Northeastern
1987	1	23	"Anderson, Greg ""Cadillac"""	PF	Houston
1987	2	24	"Banks, Freddie"	SG	UNLV
1987	2	25	"Moore, Ron"	C	West Virginia State
1987	2	26	"Alford, Steve"	SG	Indiana
1987	2	27	"Blackwell, Nate"	PG	Temple
1987	2	28	"Winslow, Rickie"	SF	Houston
1987	2	29	"Fonville, Lester"	C	Jackson State
1987	2	30	"Wilson, Nikita"	SF	LSU
1987	2	31	"Moore, Andre"	PF	Loyola (IL)
1987	2	32	"McCann, Bob"	SF	Morehead State
1987	2	33	"White, Tony"	PG	Tennessee
1987	2	34	"Rowsom, Brian"	PF	UNC Wilmington
1987	2	35	"Lee, Doug"	SG	Purdue
1987	2	36	"Washington, Duane"	SG	Middle Tennessee
1987	2	37	"Dowell, Derrick"	SF	USC
1987	2	38	"Coleman, Norris"	SF	Kansas State
1987	2	39	"Askew, Vincent"	SG/SF	Memphis State
1987	2	40	"Garland, Winston"	PG	Southwest Missouri State
1987	2	41	"Johnson, Kannard"	SF	WKU
1987	2	42	"Bailey, Terrance"	SG	Wagner
1987	2	43	"Kennedy, Andrew"	F	Virginia
1987	2	44	"Coner, Terry"	PG	Alabama
1987	2	45	"Lohaus, Brad"	PF/C	Iowa
1987	2	46	"Dalrymple, Bruce"	G	Georgia Tech
1988	1	1	"Manning, Danny"	PF	Kansas
1988	1	2	"Smits, Rik"	C	Marist
1988	1	3	"Smith, Charles"	PF	Pittsburgh
1988	1	4	"Morris, Chris"	SF	Auburn
1988	1	5	"Richmond, Mitch"	SG	Kansas State
1988	1	6	"Hawkins, Hersey"	SG	Bradley
1988	1	7	"Perry, Tim"	F	Temple
1988	1	8	"Chapman, Rex"	SG	Kentucky
1988	1	9	"Seikaly, Rony"	C	Syracuse
1988	1	10	"Anderson, Willie"	SG	Georgia
1988	1	11	"Perdue, Will"	C	Vanderbilt
1988	1	12	"Grant, Harvey"	SF	Oklahoma
1988	1	13	"Grayer, Jeff"	PG	Iowa State
1988	1	14	"Majerle, Dan"	SF	Central Michigan
1988	1	15	"Grant, Gary"	PG	Michigan
1988	1	16	"Chievous, Derrick"	SG	Missouri
1988	1	17	"Leckner, Eric"	C	Wyoming
1988	1	18	"Berry, Ricky"	SG	San Jose State
1988	1	19	"Strickland, Rod"	PG	DePaul
1988	1	20	"Edwards, Kevin"	SG	DePaul
1988	1	21	"Bryant, Mark"	PF	Seton Hall
1988	1	22	"Keys, Randolph"	SF	Southern Miss
1988	1	23	"Lane, Jerome"	PF	Pittsburgh
1988	1	24	"Shaw, Brian"	SG	UC Santa Barbara
1988	1	25	"Rivers, David"	PG	Notre Dame
1988	2	26	"Ferreira, Rolando"	C	Houston
1988	2	27	"Jones, Shelton"	F	St. John's
1988	2	28	"Lang, Andrew"	C	Arkansas
1988	2	29	"Del Negro, Vinny"	SG	NC State
1988	2	30	"Dembo, Fennis"	PF	Wyoming
1988	2	31	"Stephens, Everette"	G	Purdue
1988	2	32	"Shackleford, Charles"	F/C	NC State
1988	2	33	"Long, Grant"	F	Eastern Michigan
1988	2	34	"Tolbert, Tom"	F/C	Arizona
1988	2	35	"Gray, Sylvester"	F	Memphis State
1988	2	36	"Eackles, Ledell"	G/F	New Orleans
1988	2	37	"Butler, Greg"	C	Stanford
1988	2	38	"Garrett, Dean"	C	Indiana
1988	2	39	"Horford, Tito"	C	Miami (FL)
1988	2	40	"Graham, Orlando"	F	Auburn-Montgomery
1988	2	41	"Smart, Keith"	G	Indiana
1988	2	42	"Moe, Jeff"	SG	Iowa
1988	2	43	"Mitchell, Todd"	F	Purdue
1988	2	44	"Taylor, Anthony"	G	Oregon
1988	2	45	"Garrick, Tom"	G	Rhode Island
1988	2	46	"Wiley, Morlon"	G	Long Beach State
1988	2	47	"Maxwell, Vernon"	SG	Florida
1988	2	48	"Williams, Micheal"	G	Baylor
1988	2	49	"Vargas, Jos¨¦"	C/PF	LSU
1988	2	50	"Kerr, Steve"	PG	Arizona
1989	1	1	Pervis Ellison	PF	Louisville?
1989	1	2	Danny Ferry	PF	Duke?
1989	1	3	Sean Elliott	SF/SG	Arizona?
1989	1	4	Glen Rice	SF	Michigan?
1989	1	5	J. R. Reid	PF/C	North Carolina?
1989	1	6	Stacey King	C	Oklahoma?
1989	1	7	George McCloud	SG/SF	Florida State?
1989	1	8	Randy White	PF	Louisiana Tech?
1989	1	9	Tom Hammonds	PF/C	Georgia Tech?
1989	1	10	Pooh Richardson	PG	UCLA?
1989	1	11	Nick Anderson	SF/SG	Illinois?
1989	1	12	Mookie Blaylock	PG	Oklahoma?
1989	1	13	Michael Smith	PF	BYU?
1989	1	14	Tim Hardaway*	PG	UTEP?
1989	1	15	Todd Lichti	SG	Stanford?
