"","nameurl","games","minutes"
"460","jeff-adrien-1","133","3923"
"461","solomon-alabi-1","77","1694"
"462","cole-aldrich-1","111","2331"
"463","al-farouq-aminu-1","62","1866"
"464","james-anderson-1","87","548"
"465",NA,NA,NA
"466","luke-babbitt-1","68","2373"
"467","eric-bledsoe-1","37","1121"
"468","trevor-booker-1","134","3805"
"469","craig-brackins-1","96","3052"
"470","avery-bradley-1","34","1003"
"471","derrick-caracter-1","79","1556"
"472","sherron-collins-1","143","4075"
"473","marcus-cousin-1","106","1833"
"474","demarcus-cousins-1","38","893"
"475","jordan-crawford-1","65","1904"
"476","ed-davis-1","61","1354"
"477","zabian-dowdell-1","122","4148"
"478","devin-ebanks-1","69","2214"
"479",NA,NA,NA
"480","jeremy-evans-1","134","3149"
"481",NA,NA,NA
"482","derrick-favors-1","36","990"
"483","landry-fields-1","129","3044"
"484","gary-forbes-1","129","3521"
"485","paul-george-1","63","2135"
"486","blake-griffin-1","68","2101"
"487","luke-harangody-1","129","3766"
"488","manny-harris-1","98","3332"
"489","gordon-hayward-1","69","2283"
"490","lazar-hayward-1","138","3643"
"491","xavier-henry-1","36","990"
"492","damion-james-1","142","4160"
"493","armon-johnson-1","101","3302"
"494","chris-johnson-1","138","3436"
"495","wesley-johnson-1","52","457"
"496","dominique-jones-1","95","3467"
"497","gani-lawal-1","99","2405"
"498","jeremy-lin-1","115","3358"
"499","greg-monroe-1","65","2119"
"500",NA,NA,NA
"501",NA,NA,NA
"502","gary-neal-1","106","3614"
"503","larry-owens-1","66","1914"
"504","patrick-patterson-1","97","3298"
"505",NA,NA,NA
"506","dexter-pittman-1","134","1634"
"507","quincy-pondexter-1","136","3712"
"508","andy-rautins-1","127","3098"
"509","samardo-samuels-1","70","1897"
"510","larry-sanders-1","101","2373"
"511",NA,NA,NA
"512","mustafa-shakur-1","131","4061"
"513",NA,NA,NA
"514",NA,NA,NA
"515",NA,NA,NA
"516","lance-stephenson-1","34","958"
"517",NA,NA,NA
"518","evan-turner-1","101","3312"
"519","ekpe-udoh-1","103","2801"
"520","ben-uzoh-1","141","4554"
"521","greivis-vasquez-1","136","4569"
"522","john-wall-1","37","1287"
"523","willie-warren-1","57","1806"
"524","hassan-whiteside-1","34","887"
"525","lavoy-allen-1","135","4347"
"526",NA,NA,NA
"527","keith-benson-1","135","3618"
"528",NA,NA,NA
"529","marshon-brooks-1","113","2858"
"530","alec-burks-1","68","2101"
"531","jimmy-butler-1","106","3137"
"532","derrick-byars-1","126","3313"
"533","norris-cole-1","140","4116"
"534",NA,NA,NA
"535","justin-dentmon-1","133","3630"
"536","jerome-dyson-1","113","3435"
"537","kenneth-faried-1","136","3957"
"538","jeff-foote-1","87","2305"
"539","courtney-fortson-1","47","1551"
"540","jimmer-fredette-1","139","4114"
"541","mickell-gladness-1","85","2278"
"542","andrew-goudelock-1","140","4592"
"543","jordan-hamilton-1","93","1376"
"544","justin-harper-1","137","3137"
"545","josh-harrellson-1","94","1485"
"546","terrel-harris-1","134","3537"
"547","tobias-harris-1","34","992"
"548","cory-higgins-1","132","4474"
"549","darington-hobson-1","35","1176"
"550","tyler-honeycutt-1","59","1870"
"551","dennis-horner-1","128","2598"
"552","kyrie-irving-1","11","302"
"553","reggie-jackson-1","99","2772"
"554","charles-jenkins-1","128","4595"
"555","carldell-johnson-1","96","2755"
"556","ivan-johnson-1","28","450"
"557","jajuan-johnson-1","140","3850"
"558","jerome-jordan-1","133","3218"
"559","cory-joseph-1","36","1166"
"560",NA,NA,NA
"561",NA,NA,NA
"562","brandon-knight-1","38","1364"
"563","malcolm-lee-1","94","2509"
"564","kawhi-leonard-1","70","2233"
"565","travis-leslie-1","90","2349"
"566","jon-leuer-1","123","2804"
"567","deandre-liggins-1","100","2190"
"568","shelvin-mack-1","108","3369"
"569","vernon-macklin-1","136","2502"
"570",NA,NA,NA
"571","darius-morris-1","67","1996"
"572","marcus-morris-1","109","2616"
"573","markieff-morris-1","109","2103"
"574","daniel-orton-1","38","501"
"575","jeremy-pargo-1","134","3845"
"576","chandler-parsons-1","142","3961"
"577","ryan-reid-1","126","2545"
"578",NA,NA,NA
"579","walker-russell-1","54","1258"
"580","josh-selby-1","26","530"
"581","iman-shumpert-1","92","2879"
"582","xavier-silas-1","99","3029"
"583","chris-singleton-1","95","2764"
"584","donald-sloan-1","138","3864"
"585","greg-smith-1","49","529"
"586","jerry-smith-1","138","3270"
"587","nolan-smith-1","143","3846"
"588","greg-stiemsma-1","95","950"
"589","julyan-stone-1","138","4264"
"590","isaiah-thomas-1","105","3192"
"591","lance-thomas-1","140","2758"
"592","malcolm-thomas-1","39","1033"
"593","trey-thompkins-1","89","2625"
"594","klay-thompson-1","98","3371"
"595","mychel-thompson-1","128","3724"
"596","tristan-thompson-1","128","3264"
"597",NA,NA,NA
"598","edwin-ubiles-1","131","4126"
"599",NA,NA,NA
"600","nikola-vucevic-1","87","2409"
"601","kemba-walker-1","111","3651"
"602","derrick-williams-1","27",NA
"603","elliot-williams-1","68","1693"
"604","jordan-williams-1","66","1887"
"605","chris-wright-1","123","3321"
"606","quincy-acy-1","139","3488"
"607","josh-akognon-1","119","3129"
"608","harrison-barnes-1","75","2197"
"609","will-barton-1","70","2303"
"610","aron-baynes-1","122","2684"
"611","kent-bazemore-1","140","3682"
"612","bradley-beal-1","37","1265"
"613","patrick-beverley-1","70","2387"
"614",NA,NA,NA
"615","chris-copeland-1","113","1921"
"616","jae-crowder-1","72","2174"
"617","jared-cunningham-1","33","488"
"618","anthony-davis-1","124","3732"
"619","andre-drummond-1","34","965"
"620","kim-english-1","141","3412"
"621","festus-ezeli-1","121","2165"
"622",NA,NA,NA
"623",NA,NA,NA
"624","diante-garrett-1","128","3955"
"625","draymond-green-1","145","3625"
"626","ben-hansbrough-1","134","4274"
"627","maurice-harkless-1","32","1155"
"628","john-henson-1","109","2594"
"629","justin-holiday-1","123","2410"
"630",NA,NA,NA
"631","john-jenkins-1","98","2998"
"632","orlando-johnson-1","124","3881"
"633","darius-johnson-odom-1","105","3234"
"634","dequan-jones-1","111","1609"
"635","kevin-jones-1","9","9"
"636","perry-jones-1","63","2028"
"637","terrence-jones-1","76","2310"
"638","kris-joseph-1","140","3724"
"639","michael-kidd-gilchrist-1","40","1244"
"640",NA,NA,NA
"641","doron-lamb-1","78","2324"
"642","jeremy-lamb-1","75","2407"
"643","meyers-leonard-1","65","1287"
"644","damian-lillard-1","104","3359"
"645","scott-machado-1","132","4144"
"646","kendall-marshall-1","73","2102"
"647","fab-melo-1","63","1089"
"648","khris-middleton-1","87","2262"
"649","darius-miller-1","152","3784"
"650","quincy-miller-1","37","902"
"651",NA,NA,NA
"652","arnett-moultrie-1","100","3020"
"653","kevin-murphy-1","128","3712"
"654","andrew-nicholson-1","123","3677"
"655",NA,NA,NA
"656",NA,NA,NA
"657","miles-plumlee-1","135","2133"
"658",NA,NA,NA
"659","austin-rivers-1","34","1128"
"660","brian-roberts-1","125","3900"
"661",NA,NA,NA
"662","terrence-ross-1","69","1683"
"663","robert-sacre-1","136","2951"
"664","mike-scott-1","55","1259"
"665",NA,NA,NA
"666",NA,NA,NA
"667","henry-sims-1","121","1827"
"668","kyle-singler-1","148","4884"
"669","jared-sullinger-1","74","2294"
"670","tyshawn-taylor-1","146","4044"
"671","marquis-teague-1","40","1304"
"672",NA,NA,NA
"673",NA,NA,NA
"674","jarvis-varnado-1","141","3595"
