"br_url","Month","Minutes","Points","Rebounds","Assists","Steals","Turnovers","Blocks","First","Last","PlayerIndex","CollegeGames","CollegeMinutes","Pts36","Ast36","Reb36","Stl36","TO36","Blk36","CollegeMPG"
"trevor-booker-1",1,159,55,40,1,2,4,1,"Trevor","Booker",468.00000000000006,134,3804.9999999999995,12.452830188679245,0.22641509433962265,9.056603773584905,0.4528301886792453,0.9056603773584906,0.22641509433962265,28.3955223880597
"trevor-booker-1",2,211,62,55,7,3,6,17,"Trevor","Booker",468,134,3804.9999999999995,10.578199052132701,1.194312796208531,9.383886255924171,0.5118483412322274,1.0236966824644549,2.9004739336492893,28.3955223880597
"trevor-booker-1",3,352,123,90,16,9,9,15,"Trevor","Booker",468,134,3804.9999999999995,12.579545454545455,1.6363636363636365,9.204545454545455,0.9204545454545455,0.9204545454545455,1.534090909090909,28.3955223880597
"trevor-booker-1",10,13,6,3,1,1,0,0,"Trevor","Booker",468,134,3805,16.615384615384617,2.769230769230769,8.307692307692308,2.769230769230769,0,0,28.395522388059703
"trevor-booker-1",11,124,34,19,7,4,8,4,"Trevor","Booker",468,134,3804.9999999999995,9.870967741935484,2.032258064516129,5.516129032258065,1.161290322580645,2.32258064516129,1.161290322580645,28.3955223880597
"trevor-booker-1",12,205,66,44,3,10,11,5,"Trevor","Booker",468.00000000000006,134,3804.9999999999995,11.590243902439024,0.526829268292683,7.726829268292683,1.7560975609756098,1.9317073170731707,0.8780487804878049,28.3955223880597
"trey-burke-1",1,377,141,36,81,7,28,3,"Trey","Burke",687.9999999999999,72.99999999999999,2605.9999999999995,13.46419098143236,7.73474801061008,3.4376657824933683,0.6684350132625995,2.673740053050398,0.2864721485411141,35.6986301369863
"trey-burke-1",2,374,132,39,57,5,16,1,"Trey","Burke",687.9999999999999,72.99999999999999,2605.9999999999995,12.705882352941178,5.4866310160427805,3.7540106951871657,0.48128342245989303,1.5401069518716577,0.0962566844919786,35.6986301369863
"trey-burke-1",3,578,210,42,83,10,33,0,"Trey","Burke",687.9999999999999,72.99999999999999,2606.0000000000005,13.079584775086506,5.169550173010381,2.615916955017301,0.6228373702422145,2.055363321799308,0,35.69863013698632
"trey-burke-1",4,267,109,21,63,5,14,0,"Trey","Burke",688,73,2606,14.696629213483146,8.49438202247191,2.831460674157303,0.6741573033707865,1.8876404494382024,0,35.6986301369863
"trey-burke-1",11,143,67,21,18,5,9,0,"Trey","Burke",688,73,2606.0000000000005,16.867132867132867,4.531468531468532,5.286713286713287,1.2587412587412588,2.265734265734266,0,35.69863013698631
"trey-burke-1",12,523,236,49,94,10,31,2,"Trey","Burke",687.9999999999999,72.99999999999999,2606.0000000000005,16.24474187380497,6.4703632887189295,3.3728489483747612,0.6883365200764818,2.133843212237094,0.13766730401529637,35.69863013698632
"trey-gilder-1",10,4,2,1,0,1,0,0,"Trey","Gilder",427,62,1364,18,0,9,9,0,0,22
"trey-gilder-1",11,1,0,0,0,0,0,0,"Trey","Gilder",427,62,1364,0,0,0,0,0,0,22
"trey-johnson-1",2,14,4,1,0,0,1,0,"Trey","Johnson",376,96,3273,10.285714285714285,0,2.571428571428571,0,2.571428571428571,0,34.09375
"trey-lyles-1",1,375,120,76,16,9,21,6,"Trey","Lyles",861,36,828.0000000000001,11.52,1.536,7.295999999999999,0.864,2.016,0.5760000000000001,23.000000000000004
"trey-lyles-1",2,134,57,39,5,1,8,2,"Trey","Lyles",861,36,828.0000000000001,15.313432835820896,1.3432835820895521,10.477611940298507,0.26865671641791045,2.1492537313432836,0.5373134328358209,23.000000000000004
"trey-lyles-1",3,263,133,43,14,7,12,4,"Trey","Lyles",861,36,828.0000000000001,18.20532319391635,1.9163498098859315,5.885931558935361,0.9581749049429658,1.6425855513307985,0.5475285171102662,23.000000000000004
"trey-lyles-1",4,186,90,38,8,6,9,1,"Trey","Lyles",861,36,828,17.41935483870968,1.5483870967741937,7.35483870967742,1.161290322580645,1.7419354838709677,0.19354838709677422,23
"trey-lyles-1",10,21,2,7,1,0,2,0,"Trey","Lyles",861,36,828,3.4285714285714284,1.7142857142857142,12,0,3.4285714285714284,0,23
"trey-lyles-1",11,92,25,22,2,1,4,2,"Trey","Lyles",860.9999999999999,36,828,9.782608695652174,0.7826086956521738,8.608695652173914,0.3913043478260869,1.5652173913043477,0.7826086956521738,23
"trey-lyles-1",12,312,61,74,13,2,9,3,"Trey","Lyles",861,36,828.0000000000001,7.038461538461538,1.5,8.538461538461538,0.23076923076923075,1.0384615384615385,0.34615384615384615,23.000000000000004
"trey-mckinney-jones-1",2,1,0,0,0,0,0,0,"Trey","McKinney-Jones",1044,130,3328,0,0,0,0,0,0,25.6
"trey-thompkins-1",1,47,22,12,3,1,2,1,"Trey","Thompkins",593,89,2625,16.851063829787236,2.2978723404255317,9.191489361702127,0.7659574468085106,1.5319148936170213,0.7659574468085106,29.49438202247191
"trey-thompkins-1",2,30,14,10,0,2,1,1,"Trey","Thompkins",593,89,2625,16.8,0,12,2.4,1.2,1.2,29.49438202247191
"trey-thompkins-1",3,19,11,1,0,0,2,1,"Trey","Thompkins",593,89,2625,20.842105263157897,0,1.894736842105263,0,3.789473684210526,1.894736842105263,29.49438202247191
"trey-thompkins-1",4,11,7,1,0,0,0,0,"Trey","Thompkins",593,89,2625,22.90909090909091,0,3.272727272727273,0,0,0,29.49438202247191
"trey-thompkins-1",12,13,3,0,0,0,1,0,"Trey","Thompkins",593,89,2625,8.307692307692308,0,0,0,2.769230769230769,0,29.49438202247191
