"","pre_nba_group","pre_nba_group_str","MonthStr","MonthSegment","MonthBin","round","cbb_minutes","cbb_games","intl_game","intl_minutes","mean_gs","mean_gs_per_36","size","bin_date","draft_round","text"
"59",1,"1 (NCAA)","2 (Nov)",4,1,1,1039,33,0,0,8.1,7.530191166,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 7.53"
"60",1,"1 (NCAA)","2 (Nov)",4,1,1,1046,35,0,0,2.06666666666667,7.91428571433333,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 7.91"
"61",1,"1 (NCAA)","2 (Nov)",4,1,1,1049,33,0,0,2.3,7.053475936,3,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 3
Avg. Game Score: 7.05"
"62",1,"1 (NCAA)","2 (Nov)",4,1,1,1074,35,0,0,6.25,7.839215688,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 7.84"
"63",1,"1 (NCAA)","2 (Nov)",4,1,1,1105,33,0,0,0.3,5.4,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 5.4"
"64",1,"1 (NCAA)","2 (Nov)",4,1,1,1110,32,0,0,6.3,8.8905882355,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.89"
"65",1,"1 (NCAA)","2 (Nov)",4,1,1,1128,34,0,0,3.9,4.421501014,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 4.42"
"66",1,"1 (NCAA)","2 (Nov)",4,1,1,1132,32,0,0,7.2,8.8430107535,2,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 2
Avg. Game Score: 8.84"
"67",1,"1 (NCAA)","2 (Nov)",4,1,1,1139,34,0,0,2.6,10.4,1,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 1
Avg. Game Score: 10.4"
"68",1,"1 (NCAA)","2 (Nov)",4,1,1,1148,35,0,0,6.4,7.4293929495,4,"1st-10th","1st round","Time: 2 (Nov)	1st-10th
Pre-NBA Group: 1 (NCAA)
Draft Pos: 1st round
Size: 4
Avg. Game Score: 7.43"
