year,round,pick,First,Last,Unnamed: 5
2008,1,29,DJ,White,
2008,1,30,JR,Giddens,
2008,2,31,Nikola,Pekovic,
2008,2,32,Walter,Sharpe,
2008,2,33,Joey,Dorsey,
2008,2,34,Mario,Chalmers,
2008,2,35,DeAndre,Jordan,
2008,2,36,Omer,Asik,
2008,2,37,Luc,MbahaMoute,
2008,2,38,Kyle,Weaver,
2008,2,39,Sonny,Weems,
2008,2,40,Chris,Douglas-Roberts,
2008,2,41,Nathan,Jawai,
2008,2,42,Sean,Singletary,
2008,2,43,Jr,Ewing,Patrick
2008,2,44,Ante,Tomic,
2008,2,45,Goran,Dragic,
2008,2,46,Trent,Plaisted,
2008,2,47,Bill,Walker,
2008,2,48,Malik,Hairston,
2008,2,49,Richard,Hendrix,
2008,2,50,DeVon,Hardin,
2008,2,51,Shan,Foster,
2008,2,52,Darnell,Jackson,
2008,2,53,Tadija,Dragicevic,
2008,2,54,Maarty,Leunen,
2008,2,55,Mike,Taylor,
2008,2,56,Sasha,Kaun,
2008,2,57,James,Gist,
2008,2,58,Joe,Crawford,
2008,2,59,Deron,Washington,
2008,2,60,Semih,Erden,
2009,1,1,Blake,Griffin,
2009,1,2,Hasheem,Thabeet,
2009,1,3,James,Harden,
2009,1,4,Tyreke,Evans,
2009,1,5,Ricky,Rubio,
2009,1,6,Jonny,Flynn,
2009,1,7,Stephen,Curry,
2009,1,8,Jordan,Hill,
2009,1,9,DeMar,DeRozan,
2009,1,10,Brandon,Jennings,
2009,1,11,Terrence,Williams,
2009,1,12,Gerald,Henderson,
2009,1,13,Tyler,Hansbrough,
2009,1,14,Earl,Clark,
2009,1,15,Austin,Daye,
2009,1,16,James,Johnson,
2009,1,17,Jrue,Holiday,
2009,1,18,Ty,Lawson,
2009,1,19,Jeff,Teague,
2009,1,20,Eric,Maynor,
2009,1,21,Darren,Collison,
2009,1,22,Victor,Claver,
2009,1,23,Omri,Casspi,
2009,1,24,Byron,Mullens,
2009,1,25,Rodrigue,Beaubois,
2009,1,26,Taj,Gibson,
2009,1,27,DeMarre,Carroll,
2009,1,28,Wayne,Ellington,
2009,1,29,Toney,Douglas,
2009,1,30,Christian,Eyenga,
2009,2,31,Jeff,Pendergraph,
2009,2,32,Jermaine,Taylor,
2009,2,33,Dante,Cunningham,
2009,2,34,Sergio,Llull,
2009,2,35,DaJuan,Summers,
2009,2,36,Sam,Young,
2009,2,37,DeJuan,Blair,
2009,2,38,Jon,Brockman,
2009,2,39,Jonas,Jerebko,
2009,2,40,Derrick,Brown,
2009,2,41,Jodie,Meeks,
2009,2,42,Patrick,Beverley,
2009,2,43,Marcus,Thornton,
2009,2,44,Chase,Budinger,
2009,2,45,Nick,Calathes,
2009,2,46,Danny,Green,
2009,2,47,Henk,Norel,
2009,2,48,Taylor,Griffin,
2009,2,49,Sergiy,Gladyr,
2009,2,50,Goran,Suton,
2009,2,51,Jack,McClinton,
2009,2,52,AJ,Price,
2009,2,53,Nando,deColo,
2009,2,54,Robert,Vaden,
2009,2,55,Patty,Mills,
2009,2,56,Ahmad,Nivins,
2009,2,57,Emir,Preldzic,
2009,2,58,Lester,Hudson,
2009,2,59,Chinemelu,Elonu,
2009,2,60,Robert,Dozier,
2010,1,1,John,Wall,
2010,1,2,Evan,Turner,
2010,1,3,Derrick,Favors,
2010,1,4,Wesley,Johnson,
2010,1,5,DeMarcus,Cousins,
2010,1,6,Ekpe,Udoh,
2010,1,7,Greg,Monroe,
2010,1,8,Al-Farouq,Aminu,
2010,1,9,Gordon,Hayward,
2010,1,10,Paul,George,
2010,1,11,Cole,Aldrich,
2010,1,12,Xavier,Henry,
2010,1,13,Ed,Davis,
2010,1,14,Patrick,Patterson,
2010,1,15,Larry,Sanders,
2010,1,16,Luke,Babbitt,
2010,1,17,Kevin,Seraphin,
2010,1,18,Eric,Bledsoe,
2010,1,19,Avery,Bradley,
2010,1,20,James,Anderson,
2010,1,21,Craig,Brackins,
2010,1,22,Elliot,Williams,
2010,1,23,Trevor,Booker,
2010,1,24,Damion,James,
2010,1,25,Dominique,Jones,
2010,1,26,Quincy,Pondexter,
2010,1,27,Jordan,Crawford,
2010,1,28,Greivis,Vasquez,
2010,1,29,Daniel,Orton,
2010,1,30,Lazar,Hayward,
2010,2,31,Tibor,Pleiss,
2010,2,32,Dexter,Pittman,
2010,2,33,Hassan,Whiteside,
2010,2,34,Armon,Johnson,
